"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","404","Find by payer id request must contain lower case fiscal code","functional-tests.tests","Mon Dec 22 06:29:45 UTC 2025","passed","Mon Dec 22 06:29:46 UTC 2025","","test_debtor_activation_create","",""
"","7271","An RTP is sent through CBI API","functional-tests.tests","Mon Dec 22 06:29:03 UTC 2025","passed","Mon Dec 22 06:29:11 UTC 2025","","test_availability_CBI","",""
"","814","A debtor is activated and retrieved by activation id","functional-tests.tests","Mon Dec 22 06:29:46 UTC 2025","passed","Mon Dec 22 06:29:47 UTC 2025","","test_debtor_activation_get","",""
"
Verify that a debt position can be deleted successfully.
","3154","Happy path: a debt position is deleted in DEV environment","functional-tests.tests","Mon Dec 22 06:29:18 UTC 2025","passed","Mon Dec 22 06:29:21 UTC 2025","","test_availability_GPD","",""
"","663","All auth fixtures expose a valid Bearer token format","functional-tests.tests","Mon Dec 22 06:28:59 UTC 2025","passed","Mon Dec 22 06:28:59 UTC 2025","","test_auth","",""
"","83941","test_send_rtp[GET /rtps/{rtpId}]","contract-tests.tests","Mon Dec 22 07:08:48 UTC 2025","passed","Mon Dec 22 07:10:12 UTC 2025","","test_api_send_rtp","",""
"","3047","An RTP callback is successfully received","functional-tests.tests","Mon Dec 22 06:28:10 UTC 2025","passed","Mon Dec 22 06:28:13 UTC 2025","","test_RTP_callback","",""
"","429","The RTP web page is reachable","functional-tests.tests","Mon Dec 22 06:29:43 UTC 2025","passed","Mon Dec 22 06:29:43 UTC 2025","","test_availability_RTP_webform","",""
"","1981","Cannot send RTP with expired date","functional-tests.tests","Mon Dec 22 06:29:12 UTC 2025","passed","Mon Dec 22 06:29:14 UTC 2025","","test_availability_CBI","",""
"","800","An RTP is sent to Poste service with activated fiscal code","functional-tests.tests","Mon Dec 22 06:28:57 UTC 2025","passed","Mon Dec 22 06:28:58 UTC 2025","","test_RTP_send_POSTE","",""
"","3436","Successfully cancel a Request to Pay","bdd-tests","Mon Dec 22 06:31:55 UTC 2025","passed","Mon Dec 22 06:31:59 UTC 2025","RTP_Cancellation","RTP","",""
"
Verify that a debt position can be created and published successfully.
","427","Happy path: a debt position is created and published in UAT environment","functional-tests.tests","Mon Dec 22 06:29:14 UTC 2025","passed","Mon Dec 22 06:29:15 UTC 2025","","test_availability_GPD","",""
"","397","malformed rtp_id → 400 Bad Request","functional-tests.tests","Mon Dec 22 06:28:44 UTC 2025","passed","Mon Dec 22 06:28:44 UTC 2025","","test_RTP_get","",""
"","2665","An RTP callback is successfully received with status RJCT","functional-tests.tests","Mon Dec 22 06:28:31 UTC 2025","passed","Mon Dec 22 06:28:34 UTC 2025","","test_RTP_callback","",""
"","2166","An authenticated Service Provider cannot send an RTP to an activated debtor","bdd-tests","Mon Dec 22 06:32:07 UTC 2025","passed","Mon Dec 22 06:32:09 UTC 2025","RTP_Sending","RTP","",""
"","395","missing token → 401 Unauthorized","functional-tests.tests","Mon Dec 22 06:28:44 UTC 2025","passed","Mon Dec 22 06:28:45 UTC 2025","","test_RTP_get","",""
