"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","632","Takeover fails without authentication","","Tue Nov 11 16:24:25 UTC 2025","broken","Tue Nov 11 16:24:25 UTC 2025","","","",""
"","0","Invalid pagination parameters returns 400","functional-tests.tests","Tue Nov 11 16:23:37 UTC 2025","broken","Tue Nov 11 16:23:37 UTC 2025","","test_activation","",""
"","1","Unauthorized callback due to wrong certificate serial","functional-tests.tests","Tue Nov 11 16:23:43 UTC 2025","broken","Tue Nov 11 16:23:43 UTC 2025","","test_callback","",""
"","43","The RTP web page is reachable","functional-tests.tests","Tue Nov 11 16:23:47 UTC 2025","passed","Tue Nov 11 16:23:47 UTC 2025","","test_landing_page","",""
"","1","An RTP is sent through CBI API","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","412","Unauthorized request returns 401","functional-tests.tests","Tue Nov 11 16:23:37 UTC 2025","passed","Tue Nov 11 16:23:38 UTC 2025","","test_activation","",""
"","432","The service returns the mocked server error","functional-tests.tests","Tue Nov 11 16:23:47 UTC 2025","passed","Tue Nov 11 16:23:48 UTC 2025","","test_mock","",""
"","433","The response body contains a comprehensible error message","functional-tests.tests","Tue Nov 11 16:23:51 UTC 2025","broken","Tue Nov 11 16:23:52 UTC 2025","","test_send_rtp","",""
"","0","A debtor cannot be activated more than once","functional-tests.tests","Tue Nov 11 16:23:34 UTC 2025","broken","Tue Nov 11 16:23:34 UTC 2025","","test_activation","",""
"Token of SP B but spId of SP A should be forbidden","0","Test Takeover Fails with Mismatched SPID and Token","functional-tests.tests","Tue Nov 11 16:23:56 UTC 2025","broken","Tue Nov 11 16:23:56 UTC 2025","","test_takeover","",""
"","476","An RTP is sent through API","functional-tests.tests","Tue Nov 11 16:23:52 UTC 2025","broken","Tue Nov 11 16:23:52 UTC 2025","","test_send_rtp","",""
"","0","A debtor service provider fails activation due to wrong service provider id","functional-tests.tests","Tue Nov 11 16:23:34 UTC 2025","broken","Tue Nov 11 16:23:34 UTC 2025","","test_activation","",""
"","0","Get paginated list of payees successfully","functional-tests.tests","Tue Nov 11 16:23:48 UTC 2025","broken","Tue Nov 11 16:23:48 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
"","653","Takeover fails with invalid OTP","","Tue Nov 11 16:24:24 UTC 2025","broken","Tue Nov 11 16:24:25 UTC 2025","","","",""
"","0","Get payees with invalid authorization","functional-tests.tests","Tue Nov 11 16:23:49 UTC 2025","broken","Tue Nov 11 16:23:49 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
"","513","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Tue Nov 11 16:24:27 UTC 2025","broken","Tue Nov 11 16:24:28 UTC 2025","","","",""
"","511","Attempt to cancel an already cancelled RTP","","Tue Nov 11 16:24:26 UTC 2025","broken","Tue Nov 11 16:24:27 UTC 2025","","","",""
"","0","Non-existent NextActivationId returns 200 with empty body","functional-tests.tests","Tue Nov 11 16:23:39 UTC 2025","broken","Tue Nov 11 16:23:39 UTC 2025","","test_activation","",""
"","498","missing token → 401 Unauthorized","functional-tests.tests","Tue Nov 11 16:23:47 UTC 2025","passed","Tue Nov 11 16:23:47 UTC 2025","","test_get_rtp","",""
"","476","An RTP is sent through API","functional-tests.tests","Tue Nov 11 16:23:49 UTC 2025","broken","Tue Nov 11 16:23:49 UTC 2025","","test_send_rtp","",""
"","477","An RTP is sent to ICCREA service with activated fiscal code","functional-tests.tests","Tue Nov 11 16:23:50 UTC 2025","broken","Tue Nov 11 16:23:51 UTC 2025","","test_send_rtp","",""
"","0","Get a page of activations","functional-tests.tests","Tue Nov 11 16:23:31 UTC 2025","broken","Tue Nov 11 16:23:31 UTC 2025","","test_activation","",""
"Test that takeover fails when an invalid OTP is provided","0","Test Takeover Fails with Invalid OTP","functional-tests.tests","Tue Nov 11 16:23:54 UTC 2025","broken","Tue Nov 11 16:23:54 UTC 2025","","test_takeover","",""
"","0","Non-integer size returns 400","functional-tests.tests","Tue Nov 11 16:23:38 UTC 2025","broken","Tue Nov 11 16:23:38 UTC 2025","","test_activation","",""
"","450","A Service Provider with invalid client secret is not authenticated","functional-tests.tests","Tue Nov 11 16:23:41 UTC 2025","failed","Tue Nov 11 16:23:41 UTC 2025","","test_auth","",""
"","478","Debtor fiscal code must be lower case during RTP send","functional-tests.tests","Tue Nov 11 16:23:51 UTC 2025","broken","Tue Nov 11 16:23:51 UTC 2025","","test_send_rtp","",""
"","519","A Service Provider with invalid client ID is not authenticated","functional-tests.tests","Tue Nov 11 16:23:40 UTC 2025","failed","Tue Nov 11 16:23:41 UTC 2025","","test_auth","",""
"","455","RTP cancellation fails if ID does not exist","functional-tests.tests","Tue Nov 11 16:23:43 UTC 2025","broken","Tue Nov 11 16:23:44 UTC 2025","","test_cancel_rtp","",""
"","1","An RTP is sent through ICCREA API","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","477","inexistent RTP -> empty body","functional-tests.tests","Tue Nov 11 16:23:46 UTC 2025","broken","Tue Nov 11 16:23:46 UTC 2025","","test_get_rtp","",""
"","0","The activation request must contain lower case fiscal code","functional-tests.tests","Tue Nov 11 16:23:32 UTC 2025","broken","Tue Nov 11 16:23:32 UTC 2025","","test_activation","",""
"","1","Auth endpoint returns valid token","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","1","Cannot send RTP with invalid amount","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","433","A debtor is deactivated by an authenticated service provider","functional-tests.tests","Tue Nov 11 16:23:44 UTC 2025","broken","Tue Nov 11 16:23:44 UTC 2025","","test_deactivation","",""
"","0","Invalid pagination parameters returns 400","functional-tests.tests","Tue Nov 11 16:23:36 UTC 2025","broken","Tue Nov 11 16:23:36 UTC 2025","","test_activation","",""
"","1","Cannot send RTP with an amount over the POSTE limit","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","602","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Tue Nov 11 16:24:28 UTC 2025","broken","Tue Nov 11 16:24:29 UTC 2025","","","",""
"","1","Cannot send RTP with invalid amount","functional-tests.tests","Tue Nov 11 16:23:45 UTC 2025","broken","Tue Nov 11 16:23:45 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Retrieving activation with invalid UUID returns 400","functional-tests.tests","Tue Nov 11 16:23:35 UTC 2025","broken","Tue Nov 11 16:23:35 UTC 2025","","test_activation","",""
"","0","Get payees with invalid authorization","functional-tests.tests","Tue Nov 11 16:23:53 UTC 2025","broken","Tue Nov 11 16:23:53 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","0","Get list of service providers successfully","functional-tests.tests","Tue Nov 11 16:23:52 UTC 2025","broken","Tue Nov 11 16:23:52 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
