"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Payees Registry","0","0","pagoPA retrieves payees registry","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of reused OTP","0"
"1","Activation","0","Takeover happy path","0","0","Takeover","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to CBI directly","0"
"7","","0","Activation","1","0","List Activations","0"
"0","Activation","0","Takeover happy path","1","0","Takeover Notification","0"
"3","","0","Activation","1","0","Get Debtor activation by ID","0"
"3","","0","RTP Send","0","0","Service provider sends an RTP to POSTE","0"
"6","","0","RTP Callback","0","0","Service provider sends a callback referred to an RTP","0"
"1","","0","RTP Callback","0","0","Service provider cancels RTP","0"
"2","","0","Service Providers Registry","0","0","pagoPA retrieves service providers registry","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of valid OTP","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to POSTE directly","0"
"3","","0","A Creditor Service Provider can cancel a Request to Pay","0","0","","0"
"3","","0","RTP Get","1","0","Service provider retrieves an RTP","0"
"0","","0","A Creditor Service Provider sends an RTP through web page","1","0","","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to a non-activated debtor","0"
"4","","0","A Creditor Service Provider sends an RTP through API","0","0","","0"
"3","","0","Deactivation","0","0","Debtor deactivation","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of OTP bound to different payer","0"
"3","","0","RTP Send","0","0","Service provider sends an RTP","0"
"1","","0","Authentication","0","0","Client authenticates to CBI","0"
"0","","0","RTP Service Provider Mock","2","0","Send an RTP to mocked Service Provider","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of mismatched spId and token","0"
"2","","0","A Debtor Service Providers activates a debtor","1","0","","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of unauthenticated SP","0"
"3","","0","A Debtor Service Provider performs takeover of an existing activation","0","0","","0"
"5","","0","Activation","0","0","Debtor activation","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of missing OTP","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of nonsensical body","0"
"0","","0","Web page","1","0","The RTP web page is reachable","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to ICCREA directly","0"
"2","","0","RTP Send","0","0","Service provider sends an RTP to a provider","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of empty OTP","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to a provider through Sender","0"
"1","","0","RTP Callback","0","0","Service provider sends a callback referred to an RTP with status ACTC","0"
"1","Activation","0","Takeover unhappy path","0","0","Takeover fails because of wrong SP token","0"
"1","","1","Authentication","0","0","Service Provider authentication","0"
"1","","0","RTP Cancel","0","0","Service provider cancels RTP","0"
"0","","1","Authentication","0","0","Service Provider authenticated","0"
"2","","0","RTP Send","0","0","Service provider sends an RTP to CBI","0"
