"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","703","Get list of service providers successfully","functional-tests.tests","Wed Nov 12 09:30:13 UTC 2025","passed","Wed Nov 12 09:30:13 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","586","Get payees with invalid authorization","functional-tests.tests","Wed Nov 12 09:29:52 UTC 2025","passed","Wed Nov 12 09:29:53 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
"","1222","malformed rtp_id → 400 Bad Request","functional-tests.tests","Wed Nov 12 09:29:47 UTC 2025","passed","Wed Nov 12 09:29:48 UTC 2025","","test_get_rtp","",""
"","606","A debtor service provider fails activation due to wrong service provider id","functional-tests.tests","Wed Nov 12 09:28:41 UTC 2025","passed","Wed Nov 12 09:28:41 UTC 2025","","test_activation","",""
"","3164","RTP is successfully cancelled","functional-tests.tests","Wed Nov 12 09:29:16 UTC 2025","passed","Wed Nov 12 09:29:19 UTC 2025","","test_cancel_rtp","",""
"","4315","An RTP callback with status ACTC is successfully received","functional-tests.tests","Wed Nov 12 09:29:09 UTC 2025","passed","Wed Nov 12 09:29:13 UTC 2025","","test_callback","",""
"Test that takeover fails when the service provider is unauthenticated","1976","Test Takeover Fails with Unauthenticated SP","functional-tests.tests","Wed Nov 12 09:30:24 UTC 2025","passed","Wed Nov 12 09:30:26 UTC 2025","","test_takeover","",""
"","2497","An authenticated Service Provider cannot send an RTP to an activated debtor","","Wed Nov 12 09:32:20 UTC 2025","passed","Wed Nov 12 09:32:23 UTC 2025","","","",""
"","2093","A debtor Service Provider cannot send an RTP","","Wed Nov 12 09:32:24 UTC 2025","passed","Wed Nov 12 09:32:26 UTC 2025","","","",""
"","643","Failed callback for non existing Service Provider - DS-08P compliant","functional-tests.tests","Wed Nov 12 09:29:15 UTC 2025","passed","Wed Nov 12 09:29:16 UTC 2025","","test_callback","",""
"","604","Find by payer id request must contain lower case fiscal code","functional-tests.tests","Wed Nov 12 09:28:39 UTC 2025","passed","Wed Nov 12 09:28:40 UTC 2025","","test_activation","",""
"","736","Get paginated list of payees successfully","functional-tests.tests","Wed Nov 12 09:29:51 UTC 2025","passed","Wed Nov 12 09:29:52 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
"","647","Invalid pagination parameters returns 400","functional-tests.tests","Wed Nov 12 09:28:52 UTC 2025","passed","Wed Nov 12 09:28:52 UTC 2025","","test_activation","",""
