"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get payees with invalid authorization","functional-tests.tests","Tue Nov 11 16:10:27 UTC 2025","broken","Tue Nov 11 16:10:27 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","0","An RTP is sent through CBI API","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Invalid NextActivationId format returns 400","functional-tests.tests","Tue Nov 11 16:10:11 UTC 2025","broken","Tue Nov 11 16:10:11 UTC 2025","","test_activation","",""
"","443","RTP cancellation fails if ID does not exist","functional-tests.tests","Tue Nov 11 16:10:17 UTC 2025","broken","Tue Nov 11 16:10:17 UTC 2025","","test_cancel_rtp","",""
"","0","Invalid pagination parameters returns 400","functional-tests.tests","Tue Nov 11 16:10:10 UTC 2025","broken","Tue Nov 11 16:10:10 UTC 2025","","test_activation","",""
"","445","An RTP callback is successfully received","functional-tests.tests","Tue Nov 11 16:10:15 UTC 2025","broken","Tue Nov 11 16:10:16 UTC 2025","","test_callback","",""
"","439","Deactivation fails for activation by another service provider","functional-tests.tests","Tue Nov 11 16:10:18 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_deactivation","",""
"Test that takeover fails when an invalid OTP is provided","0","Test Takeover Fails with Invalid OTP","functional-tests.tests","Tue Nov 11 16:10:28 UTC 2025","broken","Tue Nov 11 16:10:28 UTC 2025","","test_takeover","",""
"","0","The activation request must contain lower case fiscal code","functional-tests.tests","Tue Nov 11 16:10:06 UTC 2025","broken","Tue Nov 11 16:10:06 UTC 2025","","test_activation","",""
"","468","A debtor is deactivated by an authenticated service provider","functional-tests.tests","Tue Nov 11 16:10:17 UTC 2025","broken","Tue Nov 11 16:10:18 UTC 2025","","test_deactivation","",""
"","1","Cannot send RTP with expired date","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_debtor_service_provider_availability","",""
"","448","An RTP is sent to ICCREA service with activated fiscal code","functional-tests.tests","Tue Nov 11 16:10:24 UTC 2025","broken","Tue Nov 11 16:10:25 UTC 2025","","test_send_rtp","",""
"","442","An RTP callback with status ACTC is successfully received","functional-tests.tests","Tue Nov 11 16:10:16 UTC 2025","broken","Tue Nov 11 16:10:16 UTC 2025","","test_callback","",""
"","560","inexistent RTP -> empty body","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:20 UTC 2025","","test_get_rtp","",""
"","645","A debtor Service Provider cannot send an RTP","","Tue Nov 11 16:11:06 UTC 2025","broken","Tue Nov 11 16:11:07 UTC 2025","","","",""
"Test the takeover flow where a user changes service provider","0","Test Takeover Flow","functional-tests.tests","Tue Nov 11 16:10:27 UTC 2025","broken","Tue Nov 11 16:10:27 UTC 2025","","test_takeover","",""
"","471","Deactivation fails for non-existing activation","functional-tests.tests","Tue Nov 11 16:10:18 UTC 2025","broken","Tue Nov 11 16:10:18 UTC 2025","","test_deactivation","",""
"","458","A Service Provider with invalid client secret is not authenticated","functional-tests.tests","Tue Nov 11 16:10:14 UTC 2025","failed","Tue Nov 11 16:10:15 UTC 2025","","test_auth","",""
"","722","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Tue Nov 11 16:10:59 UTC 2025","broken","Tue Nov 11 16:11:00 UTC 2025","","","",""
"Authenticated but not authorized: token of SP A tries to use OTP issued for SP B","0","Test Takeover Fails with Wrong SP Token","functional-tests.tests","Tue Nov 11 16:10:32 UTC 2025","broken","Tue Nov 11 16:10:32 UTC 2025","","test_takeover","",""
"","1","Cannot send RTP with invalid amount","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_debtor_service_provider_availability","",""
"","58","The RTP web page is reachable","functional-tests.tests","Tue Nov 11 16:10:21 UTC 2025","passed","Tue Nov 11 16:10:21 UTC 2025","","test_landing_page","",""
"","629","A debtor Service Provider successfully takes over an activation from another provider","","Tue Nov 11 16:11:01 UTC 2025","broken","Tue Nov 11 16:11:01 UTC 2025","","","",""
"","617","Takeover fails without authentication","","Tue Nov 11 16:11:02 UTC 2025","broken","Tue Nov 11 16:11:03 UTC 2025","","","",""
"OTP bound to payer1 should not work for payer2","0","Test Takeover Fails with OTP Bound to Different Payer","functional-tests.tests","Tue Nov 11 16:10:30 UTC 2025","broken","Tue Nov 11 16:10:30 UTC 2025","","test_takeover","",""
"","0","Get a page of activations","functional-tests.tests","Tue Nov 11 16:10:05 UTC 2025","broken","Tue Nov 11 16:10:05 UTC 2025","","test_activation","",""
"","1","Cannot send RTP with invalid amount","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Unauthorized callback due to wrong certificate serial","functional-tests.tests","Tue Nov 11 16:10:16 UTC 2025","broken","Tue Nov 11 16:10:16 UTC 2025","","test_callback","",""
"","611","Attempt to cancel an already cancelled RTP","","Tue Nov 11 16:11:03 UTC 2025","broken","Tue Nov 11 16:11:04 UTC 2025","","","",""
"","419","The service returns the mocked server error","functional-tests.tests","Tue Nov 11 16:10:21 UTC 2025","passed","Tue Nov 11 16:10:22 UTC 2025","","test_mock","",""
"","499","Successfully cancel a Request to Pay","","Tue Nov 11 16:11:03 UTC 2025","broken","Tue Nov 11 16:11:03 UTC 2025","","","",""
"","461","An RTP is sent to Poste service with activated fiscal code","functional-tests.tests","Tue Nov 11 16:10:24 UTC 2025","broken","Tue Nov 11 16:10:24 UTC 2025","","test_send_rtp","",""
"Availability probe for takeover notification mock endpoint: expects 204 No Content","444","Test Takeover Notification Endpoint","functional-tests.tests","Tue Nov 11 16:10:28 UTC 2025","passed","Tue Nov 11 16:10:28 UTC 2025","","test_takeover","",""
"","1","Cannot send RTP with an amount over the POSTE limit","functional-tests.tests","Tue Nov 11 16:10:19 UTC 2025","broken","Tue Nov 11 16:10:19 UTC 2025","","test_debtor_service_provider_availability","",""
"","498","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Tue Nov 11 16:11:04 UTC 2025","broken","Tue Nov 11 16:11:05 UTC 2025","","","",""
"","0","A debtor is activated by an authenticated service provider","functional-tests.tests","Tue Nov 11 16:10:04 UTC 2025","broken","Tue Nov 11 16:10:04 UTC 2025","","test_activation","",""
"","435","The response body contains a comprehensible error message","functional-tests.tests","Tue Nov 11 16:10:25 UTC 2025","broken","Tue Nov 11 16:10:26 UTC 2025","","test_send_rtp","",""
"","628","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Tue Nov 11 16:11:06 UTC 2025","broken","Tue Nov 11 16:11:06 UTC 2025","","","",""
"","437","Debtor fiscal code must be lower case during RTP send","functional-tests.tests","Tue Nov 11 16:10:25 UTC 2025","broken","Tue Nov 11 16:10:25 UTC 2025","","test_send_rtp","",""
"Takeover with syntactically valid but nonsensical body should fail","0","Test Takeover Fails with Nonsensical Body","functional-tests.tests","Tue Nov 11 16:10:29 UTC 2025","broken","Tue Nov 11 16:10:29 UTC 2025","","test_takeover","",""
