"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1593","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Thu Jul 10 11:02:16 GMT 2025","passed","Thu Jul 10 11:02:18 GMT 2025","","","",""
"","2545","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Thu Jul 10 11:02:26 GMT 2025","passed","Thu Jul 10 11:02:29 GMT 2025","","","",""
"","368","A Service Provider tries to activates a debtor without having the correct credentials","","Thu Jul 10 11:02:18 GMT 2025","passed","Thu Jul 10 11:02:18 GMT 2025","","","",""
"","2924","Attempt to cancel an already cancelled RTP","","Thu Jul 10 11:02:21 GMT 2025","passed","Thu Jul 10 11:02:24 GMT 2025","","","",""
"","1816","A debtor Service Provider activates a debtor","","Thu Jul 10 11:02:15 GMT 2025","passed","Thu Jul 10 11:02:16 GMT 2025","","","",""
"","1087","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Thu Jul 10 11:02:31 GMT 2025","passed","Thu Jul 10 11:02:32 GMT 2025","","","",""
"","2557","Successfully cancel a Request to Pay","","Thu Jul 10 11:02:18 GMT 2025","passed","Thu Jul 10 11:02:21 GMT 2025","","","",""
"","1458","A debtor Service Provider cannot send an RTP","","Thu Jul 10 11:02:32 GMT 2025","passed","Thu Jul 10 11:02:33 GMT 2025","","","",""
"","1","Successful login","","Thu Jul 10 11:02:33 GMT 2025","passed","Thu Jul 10 11:02:33 GMT 2025","","","",""
"","1779","An authenticated Service Provider cannot send an RTP to an activated debtor","","Thu Jul 10 11:02:29 GMT 2025","passed","Thu Jul 10 11:02:31 GMT 2025","","","",""
"","2368","Attempt to cancel a non-existing RTP","","Thu Jul 10 11:02:24 GMT 2025","passed","Thu Jul 10 11:02:26 GMT 2025","","","",""
