"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","520","A debtor Service Provider activates a debtor","","Wed Nov 05 14:11:13 UTC 2025","broken","Wed Nov 05 14:11:13 UTC 2025","","","",""
"","507","A Service Provider tries to activates a debtor without having the correct credentials","","Wed Nov 05 14:11:14 UTC 2025","passed","Wed Nov 05 14:11:14 UTC 2025","","","",""
"","420","An authenticated Service Provider cannot send an RTP to an activated debtor","","Wed Nov 05 14:11:18 UTC 2025","broken","Wed Nov 05 14:11:18 UTC 2025","","","",""
"","522","Attempt to cancel a non-existing RTP","","Wed Nov 05 14:11:17 UTC 2025","broken","Wed Nov 05 14:11:17 UTC 2025","","","",""
"","532","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Wed Nov 05 14:11:18 UTC 2025","broken","Wed Nov 05 14:11:19 UTC 2025","","","",""
"","415","Attempt to cancel an already cancelled RTP","","Wed Nov 05 14:11:16 UTC 2025","broken","Wed Nov 05 14:11:17 UTC 2025","","","",""
"","1","Successful login","","Wed Nov 05 14:11:19 UTC 2025","passed","Wed Nov 05 14:11:19 UTC 2025","","","",""
"","537","A debtor Service Provider successfully takes over an activation from another provider","","Wed Nov 05 14:11:14 UTC 2025","broken","Wed Nov 05 14:11:15 UTC 2025","","","",""
"","535","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Wed Nov 05 14:11:17 UTC 2025","broken","Wed Nov 05 14:11:18 UTC 2025","","","",""
"","508","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Wed Nov 05 14:11:13 UTC 2025","broken","Wed Nov 05 14:11:14 UTC 2025","","","",""
"","505","Takeover fails with invalid OTP","","Wed Nov 05 14:11:15 UTC 2025","broken","Wed Nov 05 14:11:15 UTC 2025","","","",""
"","404","A debtor Service Provider cannot send an RTP","","Wed Nov 05 14:11:19 UTC 2025","broken","Wed Nov 05 14:11:19 UTC 2025","","","",""
"","412","Takeover fails without authentication","","Wed Nov 05 14:11:15 UTC 2025","broken","Wed Nov 05 14:11:16 UTC 2025","","","",""
"","515","Successfully cancel a Request to Pay","","Wed Nov 05 14:11:16 UTC 2025","broken","Wed Nov 05 14:11:16 UTC 2025","","","",""
