"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","A debtor cannot be activated more than once","functional-tests.tests","Wed Nov 12 08:48:04 UTC 2025","broken","Wed Nov 12 08:48:04 UTC 2025","","test_activation","",""
"","0","Get list of service providers successfully","functional-tests.tests","Wed Nov 12 08:48:23 UTC 2025","broken","Wed Nov 12 08:48:23 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","621","Successfully cancel a Request to Pay","","Wed Nov 12 08:49:24 UTC 2025","broken","Wed Nov 12 08:49:24 UTC 2025","","","",""
"","632","A debtor Service Provider activates a debtor","","Wed Nov 12 08:49:20 UTC 2025","broken","Wed Nov 12 08:49:21 UTC 2025","","","",""
"","449","malformed rtp_id → 400 Bad Request","functional-tests.tests","Wed Nov 12 08:48:17 UTC 2025","broken","Wed Nov 12 08:48:17 UTC 2025","","test_get_rtp","",""
"Test that takeover fails when an invalid OTP is provided","0","Test Takeover Fails with Invalid OTP","functional-tests.tests","Wed Nov 12 08:48:25 UTC 2025","broken","Wed Nov 12 08:48:25 UTC 2025","","test_takeover","",""
"","0","Retrieving non-existent activation returns 404","functional-tests.tests","Wed Nov 12 08:48:05 UTC 2025","broken","Wed Nov 12 08:48:05 UTC 2025","","test_activation","",""
"","1","Cannot send RTP with expired date","functional-tests.tests","Wed Nov 12 08:48:16 UTC 2025","broken","Wed Nov 12 08:48:16 UTC 2025","","test_debtor_service_provider_availability","",""
"","2","An RTP is sent through POSTE API","functional-tests.tests","Wed Nov 12 08:48:16 UTC 2025","broken","Wed Nov 12 08:48:16 UTC 2025","","test_debtor_service_provider_availability","",""
"","495","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Wed Nov 12 08:49:21 UTC 2025","broken","Wed Nov 12 08:49:21 UTC 2025","","","",""
"","432","An RTP is sent to ICCREA service with activated fiscal code","functional-tests.tests","Wed Nov 12 08:48:21 UTC 2025","broken","Wed Nov 12 08:48:22 UTC 2025","","test_send_rtp","",""
"","0","A debtor service provider fails activation due to wrong service provider id","functional-tests.tests","Wed Nov 12 08:48:03 UTC 2025","broken","Wed Nov 12 08:48:03 UTC 2025","","test_activation","",""
"","1","Successful login","","Wed Nov 12 08:49:28 UTC 2025","passed","Wed Nov 12 08:49:28 UTC 2025","","","",""
"","486","An RTP is sent to a CBI service with activated fiscal code","functional-tests.tests","Wed Nov 12 08:48:20 UTC 2025","broken","Wed Nov 12 08:48:21 UTC 2025","","test_send_rtp","",""
"","1","Failed callback for non existing Service Provider - DS-04b compliant","functional-tests.tests","Wed Nov 12 08:48:13 UTC 2025","broken","Wed Nov 12 08:48:13 UTC 2025","","test_callback","",""
"Test the takeover flow where a user changes service provider","0","Test Takeover Flow","functional-tests.tests","Wed Nov 12 08:48:24 UTC 2025","broken","Wed Nov 12 08:48:24 UTC 2025","","test_takeover","",""
"","0","Retrieving activation with invalid UUID returns 400","functional-tests.tests","Wed Nov 12 08:48:05 UTC 2025","broken","Wed Nov 12 08:48:05 UTC 2025","","test_activation","",""
"OTP bound to payer1 should not work for payer2","0","Test Takeover Fails with OTP Bound to Different Payer","functional-tests.tests","Wed Nov 12 08:48:27 UTC 2025","broken","Wed Nov 12 08:48:27 UTC 2025","","test_takeover","",""
"Empty OTP should be rejected","0","Test Takeover Fails with Empty OTP","functional-tests.tests","Wed Nov 12 08:48:28 UTC 2025","broken","Wed Nov 12 08:48:28 UTC 2025","","test_takeover","",""
"","457","An RTP is sent through API","functional-tests.tests","Wed Nov 12 08:48:23 UTC 2025","broken","Wed Nov 12 08:48:23 UTC 2025","","test_send_rtp","",""
"","0","The activation request must contain lower case fiscal code","functional-tests.tests","Wed Nov 12 08:48:02 UTC 2025","broken","Wed Nov 12 08:48:02 UTC 2025","","test_activation","",""
"","595","Attempt to cancel a non-existing RTP","","Wed Nov 12 08:49:25 UTC 2025","broken","Wed Nov 12 08:49:25 UTC 2025","","","",""
"","0","Get payees with invalid authorization","functional-tests.tests","Wed Nov 12 08:48:19 UTC 2025","broken","Wed Nov 12 08:48:19 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
