"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","A Service Provider is authenticated","functional-tests.tests","Wed Nov 12 08:27:51 UTC 2025","broken","Wed Nov 12 08:27:51 UTC 2025","","test_auth","",""
"","389","A Service Provider with invalid client secret is not authenticated","functional-tests.tests","Wed Nov 12 08:27:52 UTC 2025","failed","Wed Nov 12 08:27:52 UTC 2025","","test_auth","",""
"","503","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Wed Nov 12 08:28:55 UTC 2025","broken","Wed Nov 12 08:28:56 UTC 2025","","","",""
"","513","A Service Provider tries to activates a debtor without having the correct credentials","","Wed Nov 12 08:28:56 UTC 2025","passed","Wed Nov 12 08:28:56 UTC 2025","","","",""
"Test the takeover flow where a user changes service provider","0","Test Takeover Flow","functional-tests.tests","Wed Nov 12 08:28:04 UTC 2025","broken","Wed Nov 12 08:28:04 UTC 2025","","test_takeover","",""
"","0","A debtor is activated by an authenticated service provider","functional-tests.tests","Wed Nov 12 08:27:41 UTC 2025","broken","Wed Nov 12 08:27:41 UTC 2025","","test_activation","",""
"","0","The activation request must contain lower case fiscal code","functional-tests.tests","Wed Nov 12 08:27:43 UTC 2025","broken","Wed Nov 12 08:27:43 UTC 2025","","test_activation","",""
"","0","A debtor cannot be activated more than once","functional-tests.tests","Wed Nov 12 08:27:45 UTC 2025","broken","Wed Nov 12 08:27:45 UTC 2025","","test_activation","",""
"","594","missing token → 401 Unauthorized","functional-tests.tests","Wed Nov 12 08:27:57 UTC 2025","passed","Wed Nov 12 08:27:58 UTC 2025","","test_get_rtp","",""
"Test that takeover fails when the service provider is unauthenticated","0","Test Takeover Fails with Unauthenticated SP","functional-tests.tests","Wed Nov 12 08:28:05 UTC 2025","broken","Wed Nov 12 08:28:05 UTC 2025","","test_takeover","",""
"","514","A Service Provider with invalid client ID is not authenticated","functional-tests.tests","Wed Nov 12 08:27:51 UTC 2025","failed","Wed Nov 12 08:27:52 UTC 2025","","test_auth","",""
"","0","Unauthorized callback due to wrong certificate serial","functional-tests.tests","Wed Nov 12 08:27:54 UTC 2025","broken","Wed Nov 12 08:27:54 UTC 2025","","test_callback","",""
"","521","Attempt to cancel a non-existing RTP","","Wed Nov 12 08:28:59 UTC 2025","broken","Wed Nov 12 08:28:59 UTC 2025","","","",""
"Authenticated but not authorized: token of SP A tries to use OTP issued for SP B","0","Test Takeover Fails with Wrong SP Token","functional-tests.tests","Wed Nov 12 08:28:09 UTC 2025","broken","Wed Nov 12 08:28:09 UTC 2025","","test_takeover","",""
"","0","Non-existent NextActivationId returns 200 with empty body","functional-tests.tests","Wed Nov 12 08:27:50 UTC 2025","broken","Wed Nov 12 08:27:50 UTC 2025","","test_activation","",""
"","387","Deactivation fails for activation by another service provider","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_deactivation","",""
"","1","Unauthorized callback due to wrong certificate serial","functional-tests.tests","Wed Nov 12 08:27:54 UTC 2025","broken","Wed Nov 12 08:27:54 UTC 2025","","test_callback","",""
"","1","An RTP is sent through POSTE API","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Get list of service providers successfully","functional-tests.tests","Wed Nov 12 08:28:03 UTC 2025","broken","Wed Nov 12 08:28:03 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","1","Cannot send RTP with invalid amount","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Auth endpoint returns valid token","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_debtor_service_provider_availability","",""
"","1","Cannot send RTP with expired date","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_debtor_service_provider_availability","",""
"","151","The RTP web page is reachable","functional-tests.tests","Wed Nov 12 08:27:58 UTC 2025","passed","Wed Nov 12 08:27:58 UTC 2025","","test_landing_page","",""
"","413","An RTP is sent to a CBI service with activated fiscal code","functional-tests.tests","Wed Nov 12 08:28:00 UTC 2025","broken","Wed Nov 12 08:28:01 UTC 2025","","test_send_rtp","",""
"","420","An RTP is sent through API","functional-tests.tests","Wed Nov 12 08:28:00 UTC 2025","broken","Wed Nov 12 08:28:00 UTC 2025","","test_send_rtp","",""
"","1","Successful login","","Wed Nov 12 08:29:01 UTC 2025","passed","Wed Nov 12 08:29:01 UTC 2025","","","",""
"","571","An RTP callback is successfully received","functional-tests.tests","Wed Nov 12 08:27:52 UTC 2025","broken","Wed Nov 12 08:27:53 UTC 2025","","test_callback","",""
"","1","Failed callback for non existing Service Provider - DS-08P compliant","functional-tests.tests","Wed Nov 12 08:27:54 UTC 2025","broken","Wed Nov 12 08:27:54 UTC 2025","","test_callback","",""
"","1","Cannot send RTP with expired date","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","Invalid pagination parameters returns 400","functional-tests.tests","Wed Nov 12 08:27:47 UTC 2025","broken","Wed Nov 12 08:27:47 UTC 2025","","test_activation","",""
"","510","Retrieving activation without valid token returns 401","functional-tests.tests","Wed Nov 12 08:27:46 UTC 2025","passed","Wed Nov 12 08:27:47 UTC 2025","","test_activation","",""
"","396","Deactivation fails for non-existing activation","functional-tests.tests","Wed Nov 12 08:27:55 UTC 2025","broken","Wed Nov 12 08:27:56 UTC 2025","","test_deactivation","",""
"","0","A debtor service provider fails activation due to wrong service provider id","functional-tests.tests","Wed Nov 12 08:27:44 UTC 2025","broken","Wed Nov 12 08:27:44 UTC 2025","","test_activation","",""
"","406","RTP cancellation fails if ID does not exist","functional-tests.tests","Wed Nov 12 08:27:54 UTC 2025","broken","Wed Nov 12 08:27:55 UTC 2025","","test_cancel_rtp","",""
"","0","Get a page of activations","functional-tests.tests","Wed Nov 12 08:27:42 UTC 2025","broken","Wed Nov 12 08:27:42 UTC 2025","","test_activation","",""
"Reusing the same OTP after a successful takeover should fail","0","Test Takeover Fails with Reused OTP","functional-tests.tests","Wed Nov 12 08:28:06 UTC 2025","broken","Wed Nov 12 08:28:06 UTC 2025","","test_takeover","",""
"","508","Takeover fails with invalid OTP","","Wed Nov 12 08:28:57 UTC 2025","broken","Wed Nov 12 08:28:57 UTC 2025","","","",""
"","445","An RTP is sent to Poste service with activated fiscal code","functional-tests.tests","Wed Nov 12 08:28:01 UTC 2025","broken","Wed Nov 12 08:28:01 UTC 2025","","test_send_rtp","",""
"Takeover with syntactically valid but nonsensical body should fail","0","Test Takeover Fails with Nonsensical Body","functional-tests.tests","Wed Nov 12 08:28:06 UTC 2025","broken","Wed Nov 12 08:28:06 UTC 2025","","test_takeover","",""
"","430","RTP is successfully retrieved","functional-tests.tests","Wed Nov 12 08:27:56 UTC 2025","broken","Wed Nov 12 08:27:57 UTC 2025","","test_get_rtp","",""
"","0","Get payees with invalid authorization","functional-tests.tests","Wed Nov 12 08:27:59 UTC 2025","broken","Wed Nov 12 08:27:59 UTC 2025","TestPayeesRegistry","test_payees_registry","",""
"","427","The response body contains a comprehensible error message","functional-tests.tests","Wed Nov 12 08:28:02 UTC 2025","broken","Wed Nov 12 08:28:03 UTC 2025","","test_send_rtp","",""
"OTP bound to payer1 should not work for payer2","0","Test Takeover Fails with OTP Bound to Different Payer","functional-tests.tests","Wed Nov 12 08:28:07 UTC 2025","broken","Wed Nov 12 08:28:07 UTC 2025","","test_takeover","",""
"","510","An RTP is sent to ICCREA service with activated fiscal code","functional-tests.tests","Wed Nov 12 08:28:01 UTC 2025","broken","Wed Nov 12 08:28:02 UTC 2025","","test_send_rtp","",""
"","385","The service returns the mocked server error","functional-tests.tests","Wed Nov 12 08:27:59 UTC 2025","passed","Wed Nov 12 08:27:59 UTC 2025","","test_mock","",""
