"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","639","A Service Provider tries to activates a debtor without having the correct credentials","","Wed Nov 12 09:31:56 UTC 2025","passed","Wed Nov 12 09:31:57 UTC 2025","","","",""
"","2543","Takeover fails with invalid OTP","","Wed Nov 12 09:32:01 UTC 2025","passed","Wed Nov 12 09:32:04 UTC 2025","","","",""
"","4135","Attempt to cancel an already cancelled RTP","","Wed Nov 12 09:32:10 UTC 2025","failed","Wed Nov 12 09:32:14 UTC 2025","","","",""
"","2224","A debtor Service Provider tries to activates a debtor 2 times, failing the second attempt","","Wed Nov 12 09:31:54 UTC 2025","passed","Wed Nov 12 09:31:56 UTC 2025","","","",""
"","2497","An authenticated Service Provider cannot send an RTP to an activated debtor","","Wed Nov 12 09:32:20 UTC 2025","passed","Wed Nov 12 09:32:23 UTC 2025","","","",""
"","2635","An authenticated creditor Service Provider can send an RTP to an activated debtor","","Wed Nov 12 09:32:17 UTC 2025","passed","Wed Nov 12 09:32:20 UTC 2025","","","",""
"","3631","Successfully cancel a Request to Pay","","Wed Nov 12 09:32:06 UTC 2025","passed","Wed Nov 12 09:32:10 UTC 2025","","","",""
"","3461","Attempt to cancel a non-existing RTP","","Wed Nov 12 09:32:14 UTC 2025","passed","Wed Nov 12 09:32:17 UTC 2025","","","",""
"","4333","A debtor Service Provider successfully takes over an activation from another provider","","Wed Nov 12 09:31:57 UTC 2025","passed","Wed Nov 12 09:32:01 UTC 2025","","","",""
"","1","Successful login","","Wed Nov 12 09:32:26 UTC 2025","passed","Wed Nov 12 09:32:26 UTC 2025","","","",""
"","1659","An authenticated Service Provider cannot send an RTP to an unactivated debtor","","Wed Nov 12 09:32:23 UTC 2025","passed","Wed Nov 12 09:32:24 UTC 2025","","","",""
"","2525","A debtor Service Provider activates a debtor","","Wed Nov 12 09:31:52 UTC 2025","passed","Wed Nov 12 09:31:54 UTC 2025","","","",""
"","2093","A debtor Service Provider cannot send an RTP","","Wed Nov 12 09:32:24 UTC 2025","passed","Wed Nov 12 09:32:26 UTC 2025","","","",""
"","2275","Takeover fails without authentication","","Wed Nov 12 09:32:04 UTC 2025","passed","Wed Nov 12 09:32:06 UTC 2025","","","",""
