"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","2","0","Service Provider authentication","0"
"0","","0","Deactivation","3","0","Debtor deactivation","0"
"0","","1","RTP Send","1","0","Service provider sends an RTP to CBI","0"
"0","","0","RTP Send","1","0","Service provider sends an RTP to a non-activated debtor","0"
"0","","0","RTP Service Provider Mock","2","0","Send an RTP to mocked Service Provider","0"
"0","","2","RTP Callback","4","0","Service provider sends a callback referred to an RTP","0"
"0","","1","Activation","4","0","Debtor activation","0"
"0","","0","RTP Callback","1","0","Service provider cancels RTP","0"
"0","","0","RTP Cancel","1","0","Service provider cancels RTP","0"
"0","","0","RTP Send","3","0","Service provider sends an RTP","0"
"1","","1","RTP Send","0","0","Service provider sends an RTP to a provider","0"
"0","","1","RTP Send","0","0","Service provider sends an RTP to a provider through Sender","0"
"0","","0","Authentication","1","0","Client authenticates to CBI","0"
"0","","0","Payees Registry","2","0","pagoPA retrieves payees registry","0"
"0","","1","RTP Send","0","0","Service provider sends an RTP to CBI directly","0"
"0","","0","Authentication","1","0","Service Provider authenticated","0"
"1","","0","RTP Send","0","0","Service provider sends an RTP to POSTE directly","0"
"0","","0","Service Providers Registry","2","0","pagoPA retrieves service providers registry","0"
"0","","0","Web page","1","0","The RTP web page is reachable","0"
