"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1048","Auth endpoint returns valid token","tests","Sat Aug 16 07:07:10 GMT 2025","passed","Sat Aug 16 07:07:12 GMT 2025","","test_debtor_service_provider_availability","",""
"","709","Invalid pagination parameters returns 400","tests","Sat Aug 16 07:06:25 GMT 2025","passed","Sat Aug 16 07:06:26 GMT 2025","","test_activation","",""
"","1587","Happy path: a debt position is created and published in UAT environment","tests","Sat Aug 16 07:06:45 GMT 2025","passed","Sat Aug 16 07:06:47 GMT 2025","","test_debt_position","",""
"","1298","An RTP is sent through ICCREA API","tests","Sat Aug 16 07:07:23 GMT 2025","passed","Sat Aug 16 07:07:25 GMT 2025","","test_debtor_service_provider_availability","",""
"","697","A debtor service provider fails activation due to wrong service provider id","tests","Sat Aug 16 07:06:21 GMT 2025","passed","Sat Aug 16 07:06:21 GMT 2025","","test_activation","",""
"","720","inexistent RTP -> empty body","tests","Sat Aug 16 07:07:27 GMT 2025","failed","Sat Aug 16 07:07:27 GMT 2025","","test_get_rtp","",""
"","1199","Cannot send RTP with invalid amount","tests","Sat Aug 16 07:07:17 GMT 2025","passed","Sat Aug 16 07:07:18 GMT 2025","","test_debtor_service_provider_availability","",""
"","714","Deactivation fails for non-existing activation","tests","Sat Aug 16 07:06:42 GMT 2025","failed","Sat Aug 16 07:06:43 GMT 2025","","test_deactivation","",""
"","2788","An RTP is sent to ICCREA service with activated fiscal code","tests","Sat Aug 16 07:07:36 GMT 2025","failed","Sat Aug 16 07:07:39 GMT 2025","","test_send_rtp","",""
"","358","A Service Provider with invalid client ID is not authenticated","tests","Sat Aug 16 07:06:27 GMT 2025","passed","Sat Aug 16 07:06:27 GMT 2025","","test_auth","",""
"","991","An RTP is sent to Poste service with activated fiscal code","tests","Sat Aug 16 07:07:35 GMT 2025","passed","Sat Aug 16 07:07:36 GMT 2025","","test_send_rtp","",""
"","335","The service returns the mocked server error","tests","Sat Aug 16 07:07:29 GMT 2025","passed","Sat Aug 16 07:07:29 GMT 2025","","test_mock","",""
"","6524","Happy path: a debt position is updated in UAT environment","tests","Sat Aug 16 07:06:57 GMT 2025","passed","Sat Aug 16 07:07:03 GMT 2025","","test_debt_position","",""
"","2162","A debtor is activated by an authenticated service provider","tests","Sat Aug 16 07:06:15 GMT 2025","passed","Sat Aug 16 07:06:17 GMT 2025","","test_activation","",""
"","632","Cannot send RTP with an amount over the POSTE limit","tests","Sat Aug 16 07:07:22 GMT 2025","passed","Sat Aug 16 07:07:22 GMT 2025","","test_debtor_service_provider_availability","",""
"","327","Retrieving activation without valid token returns 401","tests","Sat Aug 16 07:06:24 GMT 2025","passed","Sat Aug 16 07:06:24 GMT 2025","","test_activation","",""
"","1267","A debtor is deactivated by an authenticated service provider","tests","Sat Aug 16 07:06:41 GMT 2025","passed","Sat Aug 16 07:06:42 GMT 2025","","test_deactivation","",""
"","1419","The response body contains a comprehensible error message","tests","Sat Aug 16 07:07:40 GMT 2025","passed","Sat Aug 16 07:07:42 GMT 2025","","test_send_rtp","",""
"","326","The service returns the mocked server error","tests","Sat Aug 16 07:07:28 GMT 2025","passed","Sat Aug 16 07:07:29 GMT 2025","","test_mock","",""
"","3631","An RTP callback is successfully received","tests","Sat Aug 16 07:06:28 GMT 2025","passed","Sat Aug 16 07:06:31 GMT 2025","","test_callback","",""
"","879","Cannot send RTP with invalid amount","tests","Sat Aug 16 07:07:21 GMT 2025","passed","Sat Aug 16 07:07:22 GMT 2025","","test_debtor_service_provider_availability","",""
"","699","Retrieving activation with invalid UUID returns 400","tests","Sat Aug 16 07:06:23 GMT 2025","passed","Sat Aug 16 07:06:24 GMT 2025","","test_activation","",""
"","340","Unauthorized request returns 401","tests","Sat Aug 16 07:06:26 GMT 2025","passed","Sat Aug 16 07:06:26 GMT 2025","","test_activation","",""
"","1050","Cannot send RTP with expired date","tests","Sat Aug 16 07:07:22 GMT 2025","passed","Sat Aug 16 07:07:23 GMT 2025","","test_debtor_service_provider_availability","",""
"","495","A Service Provider with invalid client secret is not authenticated","tests","Sat Aug 16 07:06:27 GMT 2025","passed","Sat Aug 16 07:06:28 GMT 2025","","test_auth","",""
"","460","Unauthorized callback due to wrong certificate serial","tests","Sat Aug 16 07:06:36 GMT 2025","passed","Sat Aug 16 07:06:37 GMT 2025","","test_callback","",""
"","456","Unauthorized callback due to wrong certificate serial","tests","Sat Aug 16 07:06:37 GMT 2025","passed","Sat Aug 16 07:06:37 GMT 2025","","test_callback","",""
"","456","Get paginated list of payees successfully","tests","Sat Aug 16 07:07:29 GMT 2025","passed","Sat Aug 16 07:07:30 GMT 2025","TestPayeesRegistry","test_payees_registry","",""
"","1227","Get a page of activations","tests","Sat Aug 16 07:06:17 GMT 2025","failed","Sat Aug 16 07:06:18 GMT 2025","","test_activation","",""
"","3128","An RTP is sent to a CBI service with activated fiscal code","tests","Sat Aug 16 07:07:32 GMT 2025","failed","Sat Aug 16 07:07:35 GMT 2025","","test_send_rtp","",""
"","2190","Happy path: a debt position is deleted in DEV environment","tests","Sat Aug 16 07:06:54 GMT 2025","passed","Sat Aug 16 07:06:56 GMT 2025","","test_debt_position","",""
"","1254","A debtor cannot be activated more than once","tests","Sat Aug 16 07:06:21 GMT 2025","passed","Sat Aug 16 07:06:23 GMT 2025","","test_activation","",""
"","48","The RTP web page is reachable","tests","Sat Aug 16 07:07:28 GMT 2025","passed","Sat Aug 16 07:07:28 GMT 2025","","test_landing_page","",""
"","693","RTP cancellation fails if ID does not exist","tests","Sat Aug 16 07:06:40 GMT 2025","passed","Sat Aug 16 07:06:41 GMT 2025","","test_cancel_rtp","",""
"","1300","A debtor is activated and retrieved by activation id","tests","Sat Aug 16 07:06:18 GMT 2025","failed","Sat Aug 16 07:06:19 GMT 2025","","test_activation","",""
"","683","The activation request must contain lower case fiscal code","tests","Sat Aug 16 07:06:19 GMT 2025","passed","Sat Aug 16 07:06:20 GMT 2025","","test_activation","",""
"","745","malformed rtp_id → 400 Bad Request","tests","Sat Aug 16 07:07:27 GMT 2025","passed","Sat Aug 16 07:07:28 GMT 2025","","test_get_rtp","",""
"","2405","An RTP callback is successfully received","tests","Sat Aug 16 07:06:31 GMT 2025","failed","Sat Aug 16 07:06:34 GMT 2025","","test_callback","",""
"","1637","Cannot send RTP with expired date","tests","Sat Aug 16 07:07:18 GMT 2025","passed","Sat Aug 16 07:07:20 GMT 2025","","test_debtor_service_provider_availability","",""
"","524","Failed callback for non existing Service Provider - DS-08P compliant","tests","Sat Aug 16 07:06:38 GMT 2025","passed","Sat Aug 16 07:06:38 GMT 2025","","test_callback","",""
"","366","Get list of service providers successfully","tests","Sat Aug 16 07:07:43 GMT 2025","passed","Sat Aug 16 07:07:44 GMT 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"","6667","Happy path: a debt position is updated in DEV environment","tests","Sat Aug 16 07:07:04 GMT 2025","passed","Sat Aug 16 07:07:10 GMT 2025","","test_debt_position","",""
"","1255","Happy path: a debt position is created and published in DEV environment","tests","Sat Aug 16 07:06:49 GMT 2025","passed","Sat Aug 16 07:06:50 GMT 2025","","test_debt_position","",""
"","691","Retrieving non-existent activation returns 404","tests","Sat Aug 16 07:06:23 GMT 2025","failed","Sat Aug 16 07:06:23 GMT 2025","","test_activation","",""
"","807","Find by payer id request must contain lower case fiscal code","tests","Sat Aug 16 07:06:20 GMT 2025","passed","Sat Aug 16 07:06:21 GMT 2025","","test_activation","",""
"","1074","An RTP is sent through POSTE API","tests","Sat Aug 16 07:07:20 GMT 2025","passed","Sat Aug 16 07:07:21 GMT 2025","","test_debtor_service_provider_availability","",""
"","1665","Deactivation fails for activation by another service provider","tests","Sat Aug 16 07:06:43 GMT 2025","passed","Sat Aug 16 07:06:44 GMT 2025","","test_deactivation","",""
"","1896","RTP is successfully cancelled","tests","Sat Aug 16 07:06:38 GMT 2025","passed","Sat Aug 16 07:06:40 GMT 2025","","test_cancel_rtp","",""
"","647","A Service Provider is authenticated","tests","Sat Aug 16 07:06:26 GMT 2025","passed","Sat Aug 16 07:06:27 GMT 2025","","test_auth","",""
"","1831","RTP is successfully retrieved","tests","Sat Aug 16 07:07:25 GMT 2025","failed","Sat Aug 16 07:07:27 GMT 2025","","test_get_rtp","",""
"","1376","Debtor fiscal code must be lower case during RTP send","tests","Sat Aug 16 07:07:39 GMT 2025","passed","Sat Aug 16 07:07:40 GMT 2025","","test_send_rtp","",""
"","462","Failed callback for non existing Service Provider - DS-04b compliant","tests","Sat Aug 16 07:06:37 GMT 2025","passed","Sat Aug 16 07:06:38 GMT 2025","","test_callback","",""
"","353","missing token → 401 Unauthorized","tests","Sat Aug 16 07:07:28 GMT 2025","passed","Sat Aug 16 07:07:28 GMT 2025","","test_get_rtp","",""
"","331","Get payees with invalid authorization","tests","Sat Aug 16 07:07:30 GMT 2025","passed","Sat Aug 16 07:07:31 GMT 2025","TestPayeesRegistry","test_payees_registry","",""
"","5433","An RTP is sent through CBI API","tests","Sat Aug 16 07:07:12 GMT 2025","passed","Sat Aug 16 07:07:17 GMT 2025","","test_debtor_service_provider_availability","",""
"","746","An RTP is sent through API","tests","Sat Aug 16 07:07:42 GMT 2025","passed","Sat Aug 16 07:07:43 GMT 2025","","test_send_rtp","",""
"","1593","An RTP is sent through API","tests","Sat Aug 16 07:07:31 GMT 2025","passed","Sat Aug 16 07:07:32 GMT 2025","","test_send_rtp","",""
"","2152","Happy path: a debt position is deleted in UAT environment","tests","Sat Aug 16 07:06:51 GMT 2025","passed","Sat Aug 16 07:06:53 GMT 2025","","test_debt_position","",""
"","794","Invalid pagination parameters returns 400","tests","Sat Aug 16 07:06:24 GMT 2025","passed","Sat Aug 16 07:06:25 GMT 2025","","test_activation","",""
"","2537","An RTP callback with status ACTC is successfully received","tests","Sat Aug 16 07:06:34 GMT 2025","failed","Sat Aug 16 07:06:36 GMT 2025","","test_callback","",""
"","334","Get payees with invalid authorization","tests","Sat Aug 16 07:07:44 GMT 2025","passed","Sat Aug 16 07:07:44 GMT 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
