"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","622","An RTP callback is successfully received","functional-tests.tests","Wed Nov 05 11:54:26 UTC 2025","broken","Wed Nov 05 11:54:27 UTC 2025","","test_callback","",""
"","1","Failed callback for non existing Service Provider - DS-08P compliant","functional-tests.tests","Wed Nov 05 11:54:28 UTC 2025","broken","Wed Nov 05 11:54:28 UTC 2025","","test_callback","",""
"","1","Unauthorized callback due to wrong certificate serial","functional-tests.tests","Wed Nov 05 11:54:28 UTC 2025","broken","Wed Nov 05 11:54:28 UTC 2025","","test_callback","",""
"","0","Get payees with invalid authorization","functional-tests.tests","Wed Nov 05 11:54:42 UTC 2025","broken","Wed Nov 05 11:54:42 UTC 2025","TestServiceProvidersRegistry","test_service_providers_registry","",""
"Availability probe for takeover notification mock endpoint: expects 204 No Content","577","test_takeover_notification","functional-tests.tests","Wed Nov 05 11:54:43 UTC 2025","passed","Wed Nov 05 11:54:43 UTC 2025","","test_takeover","",""
"","590","Deactivation fails for activation by another service provider","functional-tests.tests","Wed Nov 05 11:54:30 UTC 2025","broken","Wed Nov 05 11:54:31 UTC 2025","","test_deactivation","",""
"","1","An RTP is sent through CBI API","functional-tests.tests","Wed Nov 05 11:54:31 UTC 2025","broken","Wed Nov 05 11:54:31 UTC 2025","","test_debtor_service_provider_availability","",""
"","0","A debtor service provider fails activation due to wrong service provider id","functional-tests.tests","Wed Nov 05 11:54:16 UTC 2025","broken","Wed Nov 05 11:54:16 UTC 2025","","test_activation","",""
"","1","Cannot send RTP with an amount over the POSTE limit","functional-tests.tests","Wed Nov 05 11:54:31 UTC 2025","broken","Wed Nov 05 11:54:31 UTC 2025","","test_debtor_service_provider_availability","",""
"","626","An RTP is sent through API","functional-tests.tests","Wed Nov 05 11:54:40 UTC 2025","broken","Wed Nov 05 11:54:41 UTC 2025","","test_send_rtp","",""
"","607","Debtor fiscal code must be lower case during RTP send","functional-tests.tests","Wed Nov 05 11:54:39 UTC 2025","broken","Wed Nov 05 11:54:40 UTC 2025","","test_send_rtp","",""
