"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7185","RTP form cancellation with reason MODT","ux-tests.tests","2026-08-11","failed","2026-08-11","","test_RTP_cancel_v4","",""
"","2086","RTP form is filled and submitted","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_submission_v4","",""
"","2407","RTP form is filled and submitted","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_submission_v3","",""
"","1125","Whitespaces is allowed in description and company name field","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_submission_v4","",""
"","3074","RTP form is filled and submitted","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_cancel_v4","",""
"","8073","RTP form cancellation with reason MODT","ux-tests.tests","2026-08-11","failed","2026-08-11","","test_RTP_cancel_v3","",""
"","1125","Whitespaces is allowed in description and company name field","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_submission_v3","",""
"","7195","RTP form cancellation with reason PAID","ux-tests.tests","2026-08-11","failed","2026-08-11","","test_RTP_cancel_v4","",""
"","6573","RTP form is filled and submitted","ux-tests.tests","2026-08-11","passed","2026-08-11","","test_RTP_cancel_v3","",""
"","7961","RTP form cancellation with reason PAID","ux-tests.tests","2026-08-11","failed","2026-08-11","","test_RTP_cancel_v3","",""
